Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,,National,001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,2431,1101424.232,266113.22666,229658.37433
National,,National,002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,182,603546.79121,146868.94505,117904.34066
National,,National,003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",15294,669641.96855,154724.75631,137601.60507
National,,National,004,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",12930,366239.27641,85854.006574,76375.279814
National,,National,005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,1261,607147.58287,129567.57494,103359.18953
National,,National,006,LIVER TRANSPLANT WITHOUT MCC,512,335872.44531,59930.931641,38890.164063
National,,National,007,LUNG TRANSPLANT,580,704897.28966,127185.24483,99254.75
National,,National,008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,441,447103.27891,76514.297052,43501.290249
National,,National,010,PANCREAS TRANSPLANT,39,241141.76923,58362.435897,37038.358974
National,,National,011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",1984,196054.19506,48187.003528,42060.148185
National,,National,012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",1980,153994.23535,37002.901515,29934.911616
National,,National,013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",565,99195.095575,23155.461947,17612.127434
National,,National,014,ALLOGENEIC BONE MARROW TRANSPLANT,1013,447192.00099,125920.73939,102929.06713
National,,National,016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,2314,263361.48012,69053.450735,56627.603717
National,,National,017,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,115,176739.26957,43737.426087,31340.808696
National,,National,020,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,1605,421791.27975,94674.680997,82689.950156
National,,National,021,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,421,280104.27553,67651.755344,57817.049881
