YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES
2016,Year,State,AL,Alabama,Total,1,988043,726139,261904,918557,656698,261859
2016,Year,State,AK,Alaska,Total,2,87878,87151,727,76714,75988,726
2016,Year,State,AZ,Arizona,Total,4,1180422,730023,450399,1080401,630071,450329
2016,Year,State,AR,Arkansas,Total,5,606142,480306,125836,564293,438462,125831
2016,Year,State,CA,California,Total,6,5814275,3420954,2393321,5183843,2793531,2390313
2016,Year,State,CO,Colorado,Total,8,815871,515310,300561,736528,437655,298872
2016,Year,State,CT,Connecticut,Total,9,641887,472113,169775,575633,405872,169761
2016,Year,State,DE,Delaware,Total,10,186822,169186,17636,172908,155282,17626
2016,Year,State,DC,District of Columbia,Total,11,89549,76694,12855,72790,59985,12805
2016,Year,State,FL,Florida,Total,12,4163699,2466777,1696922,3909500,2213137,1696363
2016,Year,State,GA,Georgia,Total,13,1573277,1049087,524190,1446992,923610,523381
2016,Year,State,HI,Hawaii,Total,15,251978,137629,114349,219954,105652,114302
2016,Year,State,ID,Idaho,Total,16,293980,200017,93962,273544,179588,93955
2016,Year,State,IL,Illinois,Total,17,2108645,1645577,463068,1908373,1445339,463035
2016,Year,State,IN,Indiana,Total,18,1178106,887252,290854,1096101,805318,290784
2016,Year,State,IA,Iowa,Total,19,584906,482852,102054,545732,443684,102048
2016,Year,State,KS,Kansas,Total,20,498471,426275,72196,458961,386779,72182
2016,Year,State,KY,Kentucky,Total,21,879560,639581,239979,814135,576293,237842
2016,Year,State,LA,Louisiana,Total,22,809714,554588,255126,752001,496890,255111
2016,Year,State,ME,Maine,Total,23,314300,235681,78619,290191,211581,78610
2016,Year,State,MD,Maryland,Total,24,957992,864190,93802,834837,741116,93721
2016,Year,State,MA,Massachusetts,Total,25,1245919,981747,264172,1118797,854665,264132
2016,Year,State,MI,Michigan,Total,26,1938308,1270636,667672,1822426,1154866,667560
2016,Year,State,MN,Minnesota,Total,27,940548,418501,522046,871647,349640,522007
2016,Year,State,MS,Mississippi,Total,28,569150,479783,89367,536435,447077,89359
2016,Year,State,MO,Missouri,Total,29,1160093,812974,347119,1072849,725741,347107
2016,Year,State,MT,Montana,Total,30,208306,167088,41218,192393,151187,41206
2016,Year,State,NE,Nebraska,Total,31,321951,281922,40029,295494,255472,40022
2016,Year,State,NV,Nevada,Total,32,472085,311900,160186,422216,262066,160150
2016,Year,State,NH,New Hampshire,Total,33,272375,249623,22752,243443,220694,22749
2016,Year,State,NJ,New Jersey,Total,34,1523299,1269434,253865,1358872,1105091,253781
2016,Year,State,NM,New Mexico,Total,35,384392,260681,123711,346964,223283,123681
2016,Year,State,NY,New York,Total,36,3410034,2139045,1270989,3061757,1790894,1270863
2016,Year,State,NC,North Carolina,Total,37,1823035,1262678,560358,1715311,1155059,560252
2016,Year,State,ND,North Dakota,Total,38,120873,97461,23412,111126,87722,23404
2016,Year,State,OH,Ohio,Total,39,2202060,1378970,823090,2027023,1214236,812787
2016,Year,State,OK,Oklahoma,Total,40,692871,572942,119929,635734,515814,119920
2016,Year,State,OR,Oregon,Total,41,782260,436561,345699,719958,374294,345664
2016,Year,State,PA,Pennsylvania,Total,42,2581572,1548833,1032738,2369875,1337280,1032596
2016,Year,State,RI,Rhode Island,Total,44,207345,132571,74774,183061,108302,74758
2016,Year,State,SC,South Carolina,Total,45,974034,737612,236421,912024,675705,236319
2016,Year,State,SD,South Dakota,Total,46,160698,126561,34137,148321,114186,34135
2016,Year,State,TN,Tennessee,Total,47,1265781,816458,449322,1180468,731270,449198
2016,Year,State,TX,Texas,Total,48,3757335,2512097,1245237,3436111,2190958,1245153
2016,Year,State,UT,Utah,Total,49,358777,235447,123331,322444,199117,123326
