Statefips,Countyfips,Year,Total Population,Population 65+,Male Population,Female Population,Pop 65+ %
1,0,2016,4863525,783699,2357211,2509613,16.11380634
2,0,2016,741456,78163,388632,353943,10.54182581
4,0,2016,6941072,1156573,3452321,3492446,16.66274316
5,0,2016,2989918,487314,1469966,1521849,16.29857407
6,0,2016,39167117,5312557,19453155,19696031,13.56381936
8,0,2016,5539215,739318,2788777,2755067,13.34698148
9,0,2016,3578141,586993,1745932,1833898,16.40497118
10,0,2016,948921,166987,459497,490492,17.59756608
11,0,2016,685815,81988,326511,361065,11.95482747
12,0,2016,20613477,4063819,10087052,10540185,19.71437909
13,0,2016,10301890,1353877,5017995,5290447,13.1420254
15,0,2016,1427559,246350,718175,710710,17.25672984
16,0,2016,1682380,252307,843658,840378,14.99702802
17,0,2016,12820527,1892799,6297836,6523873,14.76381587
18,0,2016,6634304,994351,3271847,3366051,14.98802286
19,0,2016,3131371,512423,1558017,1575193,16.36417403
20,0,2016,2910844,436293,1451334,1461643,14.98853941
21,0,2016,4438182,691345,2187199,2253107,15.57721157
22,0,2016,4678135,677275,2289335,2392011,14.47745736
23,0,2016,1331317,258301,652321,680027,19.40191555
24,0,2016,6003323,875909,2911529,3095485,14.59040268
25,0,2016,6823608,1076810,3312204,3515076,15.78065446
26,0,2016,9950571,1617394,4898650,5055467,16.2542833
27,0,2016,5522744,829690,2750016,2775344,15.02314791
28,0,2016,2987938,449181,1450463,1540132,15.03314326
29,0,2016,6087135,980674,2989883,3101501,16.11060047
30,0,2016,1040859,183134,524720,517417,17.59450608
31,0,2016,1905616,286240,950744,955739,15.02086464
32,0,2016,2917563,438362,1465784,1453771,15.02493691
33,0,2016,1342307,227139,665369,678325,16.92153881
34,0,2016,8870827,1378991,4331875,4541709,15.54523609
35,0,2016,2091630,340335,1036039,1056516,16.27128125
36,0,2016,19633428,3073312,9531434,10104957,15.65346612
37,0,2016,10154788,1569138,4946760,5215042,15.45219851
38,0,2016,754434,109715,388106,368008,14.54269028
39,0,2016,11634370,1890847,5702499,5937561,16.25225087
40,0,2016,3926331,589134,1946039,1982104,15.00469522
41,0,2016,4089976,681359,2028093,2065178,16.65924201
42,0,2016,12782275,2226430,6261453,6527015,17.41810437
44,0,2016,1056770,173477,514154,543662,16.41577638
45,0,2016,4957968,829744,2409206,2553825,16.73556586
46,0,2016,862996,136569,435481,428212,15.82498644
47,0,2016,6646010,1044353,3244464,3406813,15.71398478
48,0,2016,27914410,3329659,13865227,14048837,11.92810093
49,0,2016,3041868,319665,1532337,1511904,10.50883865
50,0,2016,623657,112880,308324,316042,18.09969262
51,0,2016,8410106,1230565,4141183,4276468,14.63197967
53,0,2016,7294771,1072477,3649869,3650092,14.70199681
54,0,2016,1831023,345110,906410,926025,18.84793364
55,0,2016,5772628,922692,2871655,2903515,15.98391582
56,0,2016,584215,88354,298952,286291,15.12354185
72,0,2016,3406672,643427,1620266,1786406,18.88726006
1,0,2017,4874486,804784,2360503,2517486,16.5101305
2,0,2017,739700,82596,386986,353997,11.16614844
4,0,2017,7044008,1206487,3502772,3545316,17.12784824
5,0,2017,3001345,498421,1475907,1527948,16.60658805
6,0,2017,39358497,5482402,19553823,19783962,13.92939878
8,0,2017,5611885,772500,2827772,2789649,13.76542819
9,0,2017,3573297,599926,1743821,1831503,16.78914459
10,0,2017,956823,174049,463336,494606,18.1903027
11,0,2017,694906,83625,330743,366336,12.03400172
12,0,2017,20963613,4207710,10256426,10720663,20.07149245
13,0,2017,10410330,1405994,5067956,5349075,13.50575822
15,0,2017,1424393,254085,715536,710227,17.83812473
16,0,2017,1717715,264202,861715,858030,15.38101489
17,0,2017,12778828,1940531,6278554,6501339,15.18551623
18,0,2017,6658078,1022181,3283972,3378096,15.35249362
19,0,2017,3141550,524837,1563872,1579862,16.7063074
20,0,2017,2908718,447958,1450416,1460476,15.40053041
21,0,2017,4452268,710050,2195279,2260311,15.94805164
22,0,2017,4670560,697499,2283039,2390634,14.93394796
23,0,2017,1334612,266682,654184,681559,19.98198727
24,0,2017,6023868,902617,2921435,3106751,14.98401027
25,0,2017,6859789,1105525,3330954,3532606,16.11602048
26,0,2017,9973114,1664330,4912208,5064544,16.68816781
27,0,2017,5566230,858345,2772763,2796520,15.4205809
28,0,2017,2988510,461012,1451002,1539672,15.42614882
29,0,2017,6106670,1005922,3000001,3111381,16.47251284
30,0,2017,1052482,190383,530462,523400,18.08895544
31,0,2017,1915947,294091,956576,960422,15.34964172
32,0,2017,2969905,456861,1491237,1480860,15.3830173
33,0,2017,1348787,235612,668725,681670,17.46843645
34,0,2017,8885525,1409475,4340610,4547537,15.86259675
35,0,2017,2091784,352646,1036090,1056754,16.85862403
36,0,2017,19589572,3148544,9513043,10080806,16.07255125
37,0,2017,10268233,1627562,5000946,5274812,15.8504584
38,0,2017,754942,113163,387723,369032,14.98962834
39,0,2017,11659650,1939842,5716631,5949075,16.63722324
40,0,2017,3931316,603395,1948690,1984912,15.34842277
41,0,2017,4143625,708337,2055809,2091485,17.09462126
42,0,2017,12787641,2278410,6266172,6528507,17.81728155
44,0,2017,1055673,177453,513670,542884,16.80946657
45,0,2017,5021268,864156,2438728,2588374,17.2099159
46,0,2017,872868,141023,440841,432891,16.15628022
47,0,2017,6708799,1074713,3276742,3438006,16.01945445
48,0,2017,28295273,3457781,14052998,14238026,12.22034861
49,0,2017,3101042,333712,1562978,1540562,10.76128605
50,0,2017,624344,116804,308694,316438,18.70827621
51,0,2017,8463587,1272074,4168480,4302531,15.02996306
53,0,2017,7423362,1116206,3715398,3712553,15.03639456
54,0,2017,1817004,352760,900185,918498,19.41437663
55,0,2017,5790186,952262,2881163,2911984,16.44613835
56,0,2017,578931,91869,295879,284115,15.86873047
72,0,2017,3325286,654785,1580779,1744505,19.69108823
1,0,2018,4887681,826452,2365445,2526183,16.90887765
2,0,2018,735139,87090,384304,352320,11.84673919
4,0,2018,7158024,1256172,3560169,3604059,17.54914485
5,0,2018,3009733,510626,1479090,1533071,16.96582388
6,0,2018,39461588,5658656,19607822,19829641,14.33965607
8,0,2018,5691287,807300,2868175,2828980,14.18484079
9,0,2018,3571520,614593,1743201,1831360,17.20816347
10,0,2018,965479,181300,467559,499426,18.77824375
11,0,2018,701547,85451,334326,369821,12.1803671
12,0,2018,21244317,4350744,10391264,10863662,20.47956637
13,0,2018,10511131,1459538,5115616,5403773,13.8856418
15,0,2018,1420593,261520,713382,709720,18.40921362
16,0,2018,1750536,277164,878348,873726,15.83309341
17,0,2018,12723071,1991073,6252095,6472590,15.6493114
