Statefips,Countyfips,Year,BEA Per Capita Personal Income,Threshold Calculation
1,0,2016,39014,78.64
1,0,2017,40223,78.03
1,0,2018,41539,77.23
1,0,2019,43288,76.96
1,0,2020,46179,77.27
1,0,2021,49769,77.59
2,0,2016,56278,113.43
2,0,2017,57189,110.94
2,0,2018,59618,110.84
2,0,2019,61316,109.01
2,0,2020,62756,105
2,0,2021,65813,102.6
4,0,2016,41473,83.59
4,0,2017,43497,84.38
4,0,2018,45466,84.53
4,0,2019,48124,85.55
4,0,2020,52327,87.55
4,0,2021,55487,86.51
5,0,2016,40873,82.38
5,0,2017,41890,81.26
5,0,2018,43384,80.66
5,0,2019,44324,78.8
5,0,2020,47154,78.9
5,0,2021,50625,78.93
6,0,2016,56560,114
6,0,2017,58804,114.07
6,0,2018,61508,114.36
6,0,2019,64919,115.41
6,0,2020,70647,118.21
6,0,2021,76614,119.44
8,0,2016,52390,105.6
8,0,2017,55251,107.18
8,0,2018,58453,108.68
8,0,2019,62124,110.44
8,0,2020,65358,109.36
8,0,2021,70706,110.23
9,0,2016,68680,138.43
9,0,2017,70011,135.81
9,0,2018,72926,135.59
9,0,2019,75533,134.28
9,0,2020,78463,131.29
9,0,2021,83294,129.86
10,0,2016,48734,98.23
10,0,2017,50417,97.8
10,0,2018,52716,98.01
10,0,2019,54217,96.39
10,0,2020,56324,94.24
10,0,2021,59931,93.43
11,0,2016,78186,157.59
11,0,2017,79984,155.16
11,0,2018,82708,153.77
11,0,2019,84671,150.53
11,0,2020,89735,150.15
11,0,2021,96477,150.41
12,0,2016,46454,93.63
12,0,2017,49055,95.16
12,0,2018,51520,95.79
12,0,2019,54560,97
12,0,2020,57292,95.86
12,0,2021,62270,97.08
13,0,2016,43033,86.74
13,0,2017,44993,87.28
13,0,2018,46855,87.11
13,0,2019,49083,87.26
13,0,2020,51987,86.99
13,0,2021,55786,86.97
15,0,2016,49122,99.01
15,0,2017,51114,99.15
15,0,2018,52164,96.98
15,0,2019,54700,97.24
15,0,2020,57241,95.78
15,0,2021,60947,95.02
16,0,2016,40098,80.82
16,0,2017,41457,80.42
16,0,2018,43217,80.35
16,0,2019,45924,81.64
16,0,2020,49491,82.81
16,0,2021,52369,81.64
17,0,2016,52036,104.88
17,0,2017,53611,104
17,0,2018,56536,105.11
17,0,2019,58438,103.89
17,0,2020,62139,103.97
17,0,2021,67244,104.83
18,0,2016,43645,87.97
18,0,2017,45015,87.32
18,0,2018,46945,87.28
18,0,2019,48749,86.66
18,0,2020,52219,87.37
18,0,2021,56497,88.08
19,0,2016,46291,93.3
19,0,2017,47246,91.65
19,0,2018,49163,91.4
19,0,2019,50367,89.54
19,0,2020,53312,89.2
19,0,2021,57163,89.12
20,0,2016,47326,95.39
20,0,2017,48651,94.38
20,0,2018,50663,94.19
20,0,2019,52876,94
20,0,2020,55974,93.66
20,0,2021,58924,91.86
21,0,2016,39750,80.12
21,0,2017,40751,79.05
21,0,2018,41974,78.04
21,0,2019,43875,78
21,0,2020,47525,79.52
21,0,2021,51266,79.92
22,0,2016,42725,86.12
22,0,2017,44056,85.46
22,0,2018,46057,85.63
22,0,2019,47668,84.74
22,0,2020,50809,85.01
22,0,2021,54217,84.53
23,0,2016,44740,90.18
23,0,2017,46378,89.97
23,0,2018,48141,89.5
23,0,2019,50728,90.18
23,0,2020,54912,91.88
23,0,2021,58484,91.18
24,0,2016,57632,116.16
24,0,2017,59155,114.75
24,0,2018,60577,112.63
24,0,2019,62313,110.78
24,0,2020,65685,109.91
24,0,2021,69817,108.85
25,0,2016,64295,129.59
25,0,2017,66679,129.35
25,0,2018,69693,129.57
25,0,2019,73213,130.16
25,0,2020,78388,131.16
25,0,2021,83653,130.42
26,0,2016,44527,89.75
26,0,2017,45716,88.68
26,0,2018,47457,88.23
26,0,2019,49142,87.36
26,0,2020,53388,89.33
26,0,2021,56494,88.08
27,0,2016,52596,106.01
27,0,2017,54266,105.27
27,0,2018,56539,105.12
27,0,2019,58543,104.08
27,0,2020,62240,104.14
27,0,2021,66280,103.33
28,0,2016,36021,72.6
28,0,2017,36902,71.58
28,0,2018,37900,70.46
28,0,2019,39445,70.12
28,0,2020,42716,71.47
28,0,2021,45881,71.53
29,0,2016,44410,89.51
29,0,2017,45239,87.76
29,0,2018,47085,87.54
29,0,2019,49001,87.11
29,0,2020,52108,87.19
29,0,2021,55325,86.25
30,0,2016,44063,88.81
30,0,2017,46036,89.3
30,0,2018,47612,88.52
30,0,2019,50289,89.4
30,0,2020,54106,90.53
30,0,2021,56949,88.78
31,0,2016,49360,99.49
31,0,2017,50144,97.27
31,0,2018,51916,96.52
31,0,2019,54182,96.32
31,0,2020,57421,96.08
31,0,2021,61205,95.42
32,0,2016,45450,91.61
32,0,2017,47485,92.11
32,0,2018,49678,92.36
32,0,2019,52602,93.51
32,0,2020,55406,92.71
32,0,2021,60213,93.87
33,0,2016,56321,113.52
33,0,2017,58362,113.21
33,0,2018,60831,113.1
33,0,2019,64747,115.11
33,0,2020,68542,114.69
33,0,2021,73200,114.12
34,0,2016,60533,122.01
34,0,2017,62465,121.17
34,0,2018,64914,120.69
34,0,2019,68438,121.67
34,0,2020,71505,119.64
34,0,2021,77016,120.07
35,0,2016,38775,78.15
35,0,2017,39458,76.54
35,0,2018,41218,76.63
35,0,2019,43530,77.39
35,0,2020,46760,78.24
35,0,2021,50311,78.44
36,0,2016,59280,119.48
36,0,2017,62913,122.04
36,0,2018,64849,120.57
36,0,2019,67366,119.76
36,0,2020,71577,119.76
36,0,2021,76837,119.79
37,0,2016,42936,86.54
37,0,2017,44591,86.5
37,0,2018,46352,86.18
37,0,2019,48741,86.65
37,0,2020,51900,86.84
37,0,2021,56173,87.57
38,0,2016,52005,104.82
38,0,2017,52521,101.88
38,0,2018,55396,102.99
38,0,2019,57110,101.53
38,0,2020,60864,101.84
38,0,2021,64524,100.59
39,0,2016,45212,91.13
39,0,2017,46646,90.49
39,0,2018,48327,89.85
39,0,2019,50035,88.95
39,0,2020,53545,89.59
39,0,2021,56879,88.68
40,0,2016,42521,85.71
40,0,2017,44423,86.17
40,0,2018,46415,86.3
40,0,2019,48646,86.48
40,0,2020,50518,84.53
40,0,2021,53870,83.98
41,0,2016,45999,92.72
41,0,2017,47974,93.06
41,0,2018,50567,94.02
41,0,2019,52718,93.72
41,0,2020,57005,95.38
41,0,2021,61596,96.03
42,0,2016,51181,103.16
42,0,2017,52421,101.69
42,0,2018,55030,102.31
42,0,2019,56952,101.25
42,0,2020,60685,101.54
42,0,2021,64279,100.21
44,0,2016,49184,99.14
44,0,2017,50982,98.9
44,0,2018,52659,97.9
44,0,2019,55830,99.25
44,0,2020,59941,100.29
44,0,2021,64376,100.36
45,0,2016,41178,83
45,0,2017,42758,82.94
45,0,2018,44155,82.09
45,0,2019,46681,82.99
45,0,2020,49105,82.16
45,0,2021,52467,81.8
46,0,2016,49192,99.15
46,0,2017,50104,97.19
46,0,2018,52166,96.99
46,0,2019,55294,98.3
46,0,2020,60446,101.14
46,0,2021,64462,100.5
47,0,2016,43499,87.68
47,0,2017,44879,87.06
47,0,2018,46870,87.14
47,0,2019,49343,87.72
47,0,2020,52351,87.59
47,0,2021,56560,88.18
48,0,2016,46586,93.9
48,0,2017,49231,95.5
48,0,2018,52005,96.69
48,0,2019,54076,96.14
48,0,2020,55601,93.03
48,0,2021,59865,93.33
49,0,2016,41750,84.15
49,0,2017,43241,83.88
49,0,2018,45665,84.9
49,0,2019,48580,86.36
49,0,2020,52225,87.38
49,0,2021,56019,87.33
50,0,2016,49621,100.02
50,0,2017,50771,98.49
50,0,2018,52409,97.44
50,0,2019,55442,98.56
50,0,2020,59296,99.22
50,0,2021,61882,96.48
51,0,2016,53268,107.37
51,0,2017,54879,106.46
51,0,2018,56619,105.27
51,0,2019,59073,105.02
51,0,2020,62189,104.06
51,0,2021,66305,103.37
53,0,2016,54918,110.69
53,0,2017,57265,111.09
53,0,2018,60221,111.96
53,0,2019,64189,114.11
53,0,2020,68350,114.36
53,0,2021,73775,115.02
54,0,2016,37380,75.34
54,0,2017,39140,75.93
54,0,2018,41279,76.75
54,0,2019,42951,76.36
54,0,2020,45240,75.7
54,0,2021,48488,75.59
55,0,2016,47205,95.15
55,0,2017,48758,94.58
55,0,2018,50908,94.65
55,0,2019,52893,94.03
55,0,2020,55941,93.6
55,0,2021,59626,92.96
56,0,2016,54827,110.51
56,0,2017,57184,110.93
56,0,2018,60472,112.43
56,0,2019,64117,113.99
56,0,2020,65782,110.07
56,0,2021,69666,108.61
