"Geo_code","Geo_Label","Population","Year","Cohort","Eventname","Event_Label","Adjusted_Rate","OE_Ratio","Percentile","Short_label","cohort_web_label","Geo_Name"
"99","STATE",26097945,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",187.28,1,,"DME Reimbursements","Reimbursements","United States"
"27","STATE",116063,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",228.94,0.92,30.7,"DME Reimbursements","Reimbursements","Montana"
"53","STATE",76206,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",186.95,1.1,75,"DME Reimbursements","Reimbursements","Wyoming"
"03","STATE",449419,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",234.35,0.95,42.3,"DME Reimbursements","Reimbursements","Arizona"
"01","STATE",501072,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",235.29,1.21,80.7,"DME Reimbursements","Reimbursements","Alabama"
"21","STATE",544720,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",207.76,0.85,25,"DME Reimbursements","Reimbursements","Maryland"
"03","STATE",484983,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",198.14,0.95,40.3,"DME Reimbursements","Reimbursements","Arizona"
"35","STATE",73754,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",151.69,0.94,38.4,"DME Reimbursements","Reimbursements","North Dakota"
"27","STATE",142675,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",184.18,0.87,23,,,"Montana"
"47","STATE",87117,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",152.9,0.82,13.4,"DME Reimbursements","Reimbursements","Vermont"
"50","STATE",561611,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",185.72,0.89,23,"DME Reimbursements","Reimbursements","Washington"
"17","STATE",312696,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",220.92,1.18,80.7,"DME Reimbursements","Reimbursements","Kansas"
"42","STATE",521494,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",199.38,1.06,57.6,"DME Reimbursements","Reimbursements","South Carolina"
"28","STATE",214720,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",219.21,1.13,73,"DME Reimbursements","Reimbursements","Nebraska"
"18","STATE",418814,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",254.35,1.31,92.3,"DME Reimbursements","Reimbursements","Kentucky"
"53","STATE",73494,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",170.48,1.05,69.2,"DME Reimbursements","Reimbursements","Wyoming"
"49","STATE",834887,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",148.47,0.92,36.5,"DME Reimbursements","Reimbursements","Virginia"
"02","STATE",59648,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",122.86,0.63,3.8,"DME Reimbursements","Reimbursements","Alaska"
"25","STATE",316478,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",301.06,1.21,92.3,"DME Reimbursements","Reimbursements","Mississippi"
"18","STATE",417282,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",201.45,1.24,98,"DME Reimbursements","Reimbursements","Kentucky"
"53","STATE",79378,2018,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",226.35,1.15,80.7,"DME Reimbursements","Reimbursements","Wyoming"
"33","STATE",1417026,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",145.14,0.9,28.8,"DME Reimbursements","Reimbursements","New York"
"35","STATE",79516,2018,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",171.22,0.87,26.9,"DME Reimbursements","Reimbursements","North Dakota"
"44","STATE",571610,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",294.43,1.2,88.4,"DME Reimbursements","Reimbursements","Tennessee"
"23","STATE",928181,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",223.03,1.07,65.3,"DME Reimbursements","Reimbursements","Michigan"
"50","STATE",539620,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",218.49,0.88,26.9,"DME Reimbursements","Reimbursements","Washington"
"27","STATE",121716,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",199.99,0.96,44.2,"DME Reimbursements","Reimbursements","Montana"
"19","STATE",368777,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",228.52,1.09,76.9,"DME Reimbursements","Reimbursements","Louisiana"
"07","STATE",340369,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",165.82,0.85,19.2,"DME Reimbursements","Reimbursements","Connecticut"
"24","STATE",243416,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",143.54,0.89,26.9,"DME Reimbursements","Reimbursements","Minnesota"
"17","STATE",301860,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",263.92,1.06,67.3,"DME Reimbursements","Reimbursements","Kansas"
"10","STATE",1825196,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",199.48,1.07,59.6,"DME Reimbursements","Reimbursements","Florida"
"21","STATE",617082,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",158.77,0.82,13.4,"DME Reimbursements","Reimbursements","Maryland"
"18","STATE",406980,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",285.95,1.35,98,,,"Kentucky"
"04","STATE",328852,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",250.71,1.2,88.4,"DME Reimbursements","Reimbursements","Arkansas"
"30","STATE",179688,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",130.4,0.77,9.6,"DME Reimbursements","Reimbursements","New Hampshire"
"16","STATE",381393,2018,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",189.89,0.96,48,"DME Reimbursements","Reimbursements","Iowa"
"99","STATE",26649457,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",170.11,1,,"DME Reimbursements","Reimbursements","United States"
"29","STATE",226608,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",192.2,0.91,36.5,,,"Nevada"
"30","STATE",178642,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",124.18,0.77,9.6,"DME Reimbursements","Reimbursements","New Hampshire"
"13","STATE",158284,2018,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",205.57,1.04,61.5,"DME Reimbursements","Reimbursements","Idaho"
"22","STATE",610847,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",185.04,0.75,11.5,"DME Reimbursements","Reimbursements","Massachusetts"
"26","STATE",571237,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",216.16,1.11,71.1,"DME Reimbursements","Reimbursements","Missouri"
"02","STATE",56634,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",117.97,0.63,3.8,"DME Reimbursements","Reimbursements","Alaska"
"38","STATE",265859,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",236.62,0.96,46.1,"DME Reimbursements","Reimbursements","Oregon"
"52","STATE",479398,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",175.37,0.84,13.4,"DME Reimbursements","Reimbursements","Wisconsin"
"07","STATE",344264,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",198.67,0.81,15.3,"DME Reimbursements","Reimbursements","Connecticut"
"09","STATE",45415,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",132.17,0.68,5.7,"DME Reimbursements","Reimbursements","District of Columbia"
"47","STATE",91207,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",109.29,0.68,5.7,"DME Reimbursements","Reimbursements","Vermont"
"06","STATE",345162,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",239.2,1.23,88.4,"DME Reimbursements","Reimbursements","Colorado"
"36","STATE",878556,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",245.18,0.99,51.9,"DME Reimbursements","Reimbursements","Ohio"
"38","STATE",322756,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",184.56,0.87,26.9,,,"Oregon"
"50","STATE",643939,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",185.9,0.88,30.7,,,"Washington"
"44","STATE",587775,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",241.13,1.14,78.8,,,"Tennessee"
"34","STATE",901942,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",171.4,1.06,75,"DME Reimbursements","Reimbursements","North Carolina"
"31","STATE",878358,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",224.25,0.9,28.8,"DME Reimbursements","Reimbursements","New Jersey"
"29","STATE",178591,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",269.86,1.1,71.1,"DME Reimbursements","Reimbursements","Nevada"
"50","STATE",629862,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",147.92,0.87,23,"DME Reimbursements","Reimbursements","Washington"
"35","STATE",76685,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",158.08,0.93,42.3,"DME Reimbursements","Reimbursements","North Dakota"
"42","STATE",498388,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",262.1,1.06,63.4,"DME Reimbursements","Reimbursements","South Carolina"
"33","STATE",1404195,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",148.4,0.87,25,"DME Reimbursements","Reimbursements","New York"
"08","STATE",122797,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",193.22,1.03,51.9,"DME Reimbursements","Reimbursements","Delaware"
"50","STATE",599636,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",175.8,0.9,26.9,"DME Reimbursements","Reimbursements","Washington"
"43","STATE",96993,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",231.9,0.93,40.3,"DME Reimbursements","Reimbursements","South Dakota"
"25","STATE",333622,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",197.44,1.22,94.2,"DME Reimbursements","Reimbursements","Mississippi"
"23","STATE",901093,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",197.01,1.05,53.8,"DME Reimbursements","Reimbursements","Michigan"
"01","STATE",405021,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",244.42,1.16,80.7,,,"Alabama"
"33","STATE",1429898,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",191.82,0.92,30.7,"DME Reimbursements","Reimbursements","New York"
"46","STATE",139187,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",325.41,1.31,98,"DME Reimbursements","Reimbursements","Utah"
"99","STATE",26560295,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",161.89,1,,"DME Reimbursements","Reimbursements","United States"
"05","STATE",2275807,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",157.65,0.93,38.4,"DME Reimbursements","Reimbursements","California"
"29","STATE",184728,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",264.63,1.07,69.2,"DME Reimbursements","Reimbursements","Nevada"
"51","STATE",202790,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",179.6,1.06,65.3,"DME Reimbursements","Reimbursements","West Virginia"
"06","STATE",333404,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",230.33,1.23,88.4,"DME Reimbursements","Reimbursements","Colorado"
"01","STATE",479607,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",284.13,1.15,84.6,"DME Reimbursements","Reimbursements","Alabama"
"04","STATE",332791,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",234.63,1.25,90.3,"DME Reimbursements","Reimbursements","Arkansas"
"38","STATE",286107,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",179.06,0.96,42.3,"DME Reimbursements","Reimbursements","Oregon"
"32","STATE",162739,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",262.93,1.06,65.3,"DME Reimbursements","Reimbursements","New Mexico"
"10","STATE",1819990,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",251.15,1.02,55.7,"DME Reimbursements","Reimbursements","Florida"
"18","STATE",433411,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",304.8,1.24,90.3,"DME Reimbursements","Reimbursements","Kentucky"
"30","STATE",172917,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",165.11,0.78,13.4,,,"New Hampshire"
"22","STATE",663579,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",140.22,0.72,7.6,"DME Reimbursements","Reimbursements","Massachusetts"
"34","STATE",900828,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",225.34,1.07,67.3,,,"North Carolina"
"31","STATE",934400,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",179.06,0.92,32.6,"DME Reimbursements","Reimbursements","New Jersey"
